"longitude","latitude","start_date","end_date","label","cube"
-55.1852,-10.8378,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.794,-9.7573,2006-09-14,2007-08-29,"Pasture","mod13q1_512"
-51.9412,-13.4198,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.9643,-10.0621,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-54.554,-10.3749,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.4572,-10.9512,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.1443,-13.9981,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.6907,-13.3382,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-54.7034,-16.4265,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-53.6543,-15.7155,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-56.7898,-11.4209,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-55.0254,-10.0669,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.2219,-15.6638,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.3344,-12.3212,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.4244,-15.8492,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.296,-14.5021,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.4659,-14.3062,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.0574,-14.2136,2003-09-14,2004-08-28,"Pasture","mod13q1_512"
-54.3523,-15.7024,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.8127,-12.9071,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.0879,-15.2475,2002-09-14,2003-08-29,"Pasture","mod13q1_512"
-52.2846,-14.8633,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.3012,-11.2152,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2087,-15.1112,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-51.8678,-12.9663,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.7898,-11.4209,2012-09-13,2013-08-29,"Pasture","mod13q1_512"
-52.3999,-11.1348,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-52.2933,-15.7941,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-54.5348,-16.5734,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-55.9323,-14.5852,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-52.3452,-11.2405,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0997,-14.2091,2005-09-14,2006-08-29,"Pasture","mod13q1_512"
-52.8096,-15.6518,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.9432,-14.6907,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
-56.518,-15.1165,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-51.5718,-12.603,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-59.808,-14.3551,2002-09-14,2003-08-29,"Pasture","mod13q1_512"
-51.8894,-13.0101,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-56.3055,-13.4345,2015-09-14,2016-08-28,"Pasture","mod13q1_512"
-52.1806,-15.1645,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-57.5687,-14.366,2014-09-14,2015-08-29,"Pasture","mod13q1_512"
-55.0574,-14.2136,2008-09-13,2009-08-29,"Pasture","mod13q1_512"
-51.7805,-12.748,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-55.0312,-14.2294,2004-09-13,2005-08-29,"Pasture","mod13q1_512"
-52.4571,-10.9237,2013-09-14,2014-08-29,"Pasture","mod13q1_512"
-59.808,-14.3551,2011-09-14,2012-08-28,"Pasture","mod13q1_512"
